Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Afghanistan, I.R. of",500.16,570.02,660.01,872.48,869.52,956.09,916.18,"1,114.15","1,050.79","1,313.42"
Albania,"1,161.85","1,648.48","1,979.10","1,989.61","2,439.55","2,491.62","1,959.57","2,067.22","2,466.84","2,885.22"
Algeria,"47,121.66","58,604.87","72,396.96","72,041.59","65,131.92","60,775.46","36,427.89","29,914.06","35,298.48","42,427.41"
American Samoa,24.03,28.42,51.87,93.94,59.13,68.73,36.86,42.79,37.66,69.32
Angola,"40,265.07","53,665.47","66,464.90","74,907.60","72,663.71","65,889.70","37,488.21","28,685.62","34,934.19","42,991.60"
Anguilla,2.14,2.92,5.48,3.65,2.17,3.55,27.21,23.45,15.09,17.87
Antigua and Barbuda,152.56,188.81,305.02,213.05,337.27,268.57,267.74,305.6,246.24,300.97
Argentina,"58,690.18","70,653.41","84,326.59","85,043.64","81,228.40","73,358.42","62,257.97","61,513.69","63,019.95","64,418.28"
Armenia,628.79,835.87,"1,131.43","1,250.03","1,344.62","1,493.25","1,421.53","1,838.38","2,156.06","2,511.47"
Aruba,"2,241.72",444.88,"4,553.39","1,819.47",729.64,626.65,333.77,174.78,239.94,85.18
Australia,"168,686.91","219,643.67","277,602.78","267,731.48","261,195.75","254,304.03","202,209.84","203,537.95","251,190.10","271,788.15"
Austria,"134,454.08","150,447.84","177,709.78","168,617.67","177,542.07","182,425.88","158,869.19","157,704.58","174,321.36","192,507.96"
"Azerbaijan, Rep. of","18,764.40","23,174.60","32,796.99","28,948.68","29,853.22","27,562.55","17,158.51","13,003.50","18,107.71","21,321.81"
"Bahamas, The","2,371.90","3,083.21","3,124.98","2,989.84","3,944.42","4,073.13","2,630.43","1,953.60","1,579.73","2,240.71"
"Bahrain, Kingdom of","6,959.40","9,271.06","11,205.47","13,018.77","12,042.87","12,774.69","9,876.47","7,710.26","10,578.25","13,469.16"
Bangladesh,"15,780.73","18,826.72","24,304.70","25,767.16","28,921.83","31,395.01","33,199.29","34,734.74","35,989.34","39,644.46"
Barbados,278.4,363.75,401.09,361.09,454.95,537.57,336.07,313.88,394.12,494.78
Belarus,"10,083.93","10,241.69","23,663.10","31,118.95","27,268.73","26,476.22","19,969.71","18,819.19","22,575.70","26,020.57"
Belgium,"331,741.94","362,052.61","427,767.93","407,148.04","421,858.73","427,324.11","363,540.57","361,789.97","385,837.78","426,127.77"
Belgium-Luxembourg,19.78,25.95,31.87,37.71,48.04,50.13,0,0,0,0
Belize,415.71,445.45,538.9,572.49,600.5,532.04,461.38,508.8,549.68,537.12
Benin,"1,048.83","1,849.15","2,829.49","2,276.44","2,314.97","2,721.55","1,471.83","1,385.66","1,654.37","1,696.71"
Bermuda,211.26,867.27,627.32,294.94,398.76,134.81,630.39,480.86,306.03,366.18
Bhutan,161.1,207.72,219.6,218.53,170.28,214.21,342.72,259.89,261.7,352.32
Bolivia,"4,178.37","5,953.92","7,606.51","10,416.68","11,180.31","12,295.62","8,633.57","6,944.51","7,482.67","8,430.12"
Bosnia and Herzegovina,"3,670.16","4,534.84","5,706.22","5,201.18","5,743.73","6,021.45","5,436.77","5,863.80","6,673.84","7,495.24"
Botswana,"1,269.36","2,412.13","5,594.41","5,486.50","6,758.43","6,450.50","4,652.25","7,265.19","7,349.88","6,210.82"
Brazil,"167,910.84","213,983.29","271,352.93","261,642.55","247,456.13","242,867.60","210,637.73","202,052.59","235,298.70","260,235.18"
Brunei Darussalam,"7,040.74","8,997.56","12,527.88","13,004.62","11,212.59","10,222.66","6,332.19","4,755.63","5,353.69","6,258.98"
Bulgaria,"15,323.67","19,375.91","26,367.42","26,303.00","28,770.53","29,404.70","24,998.33","25,929.78","30,566.89","32,506.68"
Burkina Faso,401.76,550.28,762.51,"2,118.22","2,044.24","2,147.17","1,855.42","2,030.96","2,711.61","3,036.61"
Burundi,78.94,81.78,139.89,268.73,314.06,286.37,265.42,184.36,159.91,200.21
Cabo Verde,51.47,60.96,75.67,88.66,126.97,125.77,511.59,267.66,101.41,121.35
Cambodia,"4,532.87","5,498.27","7,389.70","8,950.17","10,206.92","12,070.20","13,690.77","16,201.41","16,567.99","18,943.64"
Cameroon,"3,761.95","4,735.28","5,599.76","5,634.36","5,682.70","5,911.58","5,099.87","4,241.22","4,733.11","5,117.60"
Canada,"318,037.38","387,710.17","452,496.38","457,840.73","464,419.24","475,656.23","407,868.43","385,062.36","420,647.20","452,478.39"
Central African Rep.,110.04,126.76,152.47,174.97,129.11,79.24,180.17,135.63,136.26,134.29
Chad,"2,307.53","2,918.50","3,907.57","3,294.66","3,174.62","3,154.66","2,357.34","1,666.24","1,296.67","1,653.67"
Chile,"54,653.48","71,877.53","85,883.61","81,602.53","81,495.80","80,030.80","68,332.21","62,379.87","71,091.60","81,404.51"
"China,P.R.: Hong Kong","62,120.17","71,529.44","83,247.49","81,295.06","78,477.43","76,718.43","72,459.40","87,545.54","84,072.82","84,237.88"
"China,P.R.: Macao","3,141.26","3,080.52","3,201.34","3,093.21","3,687.40","3,277.11","3,710.25","1,480.99","3,681.48","3,119.30"
"China,P.R.: Mainland","1,419,531.67","1,807,191.06","2,064,318.84","2,154,815.86","2,239,893.93","2,375,720.08","2,313,999.64","2,247,062.36","2,436,351.86","2,637,593.67"
Colombia,"34,237.79","40,820.39","55,566.63","62,238.59","61,485.75","59,917.25","43,055.92","37,873.63","42,523.94","46,012.95"
Comoros,30.8,36.77,62.07,123.33,55.46,58.85,49.66,78.51,84.1,99.44
"Congo, Dem. Rep. of","2,764.27","5,644.07","7,251.15","7,161.77","8,076.73","8,421.90","6,491.11","6,009.45","8,017.93","11,269.16"
"Congo, Republic of","7,766.71","11,260.57","12,375.23","11,866.88","11,523.03","11,187.76","6,759.00","5,554.85","7,396.09","11,359.87"
Costa Rica,"18,972.44","26,340.22","30,382.41","35,916.74","36,284.78","33,049.68","13,207.59","12,917.04","13,729.01","14,340.61"
Cote d'Ivoire,"9,606.74","11,092.12","12,736.78","11,781.00","11,853.21","12,061.15","11,630.94","12,593.36","14,219.92","15,798.45"
Croatia,"8,397.30","9,779.45","10,306.76","10,572.13","11,332.54","11,463.51","10,772.93","11,167.61","12,285.72","12,595.75"
Cuba,"2,628.09","3,071.83","4,040.03","3,802.37","3,968.93","3,364.93","2,315.38","1,748.85","2,159.63","2,094.25"
Curacao,1.88,6.05,156.38,175.22,506.59,535.6,305.98,900.35,399.93,311.47
Cyprus,"3,020.70","3,817.14","5,405.26","6,346.95","5,781.94","4,357.11","4,169.12","3,213.71","3,540.37","3,920.44"
Czech Republic,"109,659.29","127,799.86","156,699.41","152,382.82","158,310.28","169,284.16","152,706.27","159,206.00","176,907.23","194,650.21"
Czechoslovakia,0.26,4.79,3.13,3.82,5.46,3.55,236.2,0,0,0
Denmark,"89,644.65","92,811.21","108,519.41","102,277.38","104,900.77","104,863.62","90,600.50","89,554.88","96,121.21","107,358.17"
Djibouti,244.1,144.58,169.19,185.94,211.82,190.19,209.06,193.55,237.21,267.94
Dominica,155.65,128.21,174.5,170,169.77,168.85,173.77,150.69,109.93,122.65
Dominican Republic,"5,212.77","5,986.38","6,805.99","7,523.29","8,268.17","9,025.85","8,522.37","9,031.69","9,018.32","9,543.89"
Ecuador,"15,742.40","19,076.80","23,503.42","26,703.76","27,999.16","28,034.37","20,469.96","18,000.44","19,929.05","22,181.79"
Egypt,"24,439.21","28,735.72","36,133.95","34,775.06","33,123.36","31,582.29","25,506.39","25,123.09","29,138.18","36,427.18"
El Salvador,"3,945.36","4,562.84","5,580.03","5,562.82","5,517.56","5,275.35","5,610.09","5,495.96","5,916.08","6,026.47"
Equatorial Guinea,"9,273.03","9,651.12","13,480.28","15,653.83","14,629.00","13,223.35","7,298.46","4,911.40","5,350.28","6,481.51"
Eritrea,22.52,15.81,371.52,612.73,340.41,603.82,463.22,383.83,411.85,535.7
Estonia,"8,105.85","10,645.45","16,146.12","14,111.70","14,579.71","16,640.39","12,618.53","13,688.77","14,289.38","15,502.35"
"Eswatini, Kingdom of",907.27,"1,967.87","1,842.78","2,199.01","2,343.26","2,288.66","1,905.60","1,826.83","2,026.44","1,978.15"
Ethiopia,"1,624.34","1,950.17","2,496.58","2,668.02","2,637.53","3,183.04","3,296.23","2,843.69","3,159.35","3,125.26"
Falkland Islands,137.11,173.8,184.8,208.65,189.52,201.2,197.98,277.25,208.5,292.34
Faroe Islands,817.62,931.38,"1,152.60","1,054.15","1,309.72","1,436.51","1,300.24","1,485.30","1,550.57","1,462.04"
Fiji,682.39,785.25,818.29,881.45,862.12,889.21,781.2,731.81,779.04,732.54
Finland,"66,646.21","71,795.80","82,871.73","76,949.22","78,336.18","78,515.50","66,793.42","64,413.66","73,602.89","80,820.28"
France,"485,933.92","526,908.22","600,424.78","584,196.97","599,460.37","610,583.22","532,771.77","526,127.21","566,224.66","617,637.98"
French Polynesia,157.31,210.16,243.96,238.97,198.93,200.85,185.77,182.41,201.67,194.77
Gabon,"4,836.95","7,307.95","11,754.97","11,755.28","11,808.17","10,687.38","7,299.28","6,162.37","6,670.16","7,341.40"
"Gambia, The",65.3,69.88,150.95,167.98,139.78,116,133.14,173.88,215.3,116.38
Georgia,"1,786.51","2,238.13","2,842.32","2,539.65","2,556.42","2,792.13","2,270.57","1,940.49","2,437.92","2,571.30"
Germany,"1,106,445.08","1,244,586.78","1,439,567.26","1,392,207.88","1,431,068.42","1,477,092.90","1,313,205.46","1,304,585.27","1,406,632.59","1,521,160.03"
Ghana,"3,368.51","4,646.47","9,894.38","11,383.68","13,104.89","13,095.87","11,812.59","12,486.73","12,895.79","15,296.10"
Gibraltar,301.48,539,679.27,"1,276.26",910.47,"1,788.23",456.86,320.38,462.34,345.36
Greece,"21,668.84","24,370.63","29,056.13","29,948.75","32,355.73","31,966.69","25,881.19","25,317.70","29,386.22","34,688.37"
Greenland,624.59,598.51,713.71,702.65,762.4,732.53,773.16,888.73,982.34,"1,047.10"
Grenada,37.98,59.21,85.13,66.75,80.46,70.84,66.19,38.1,60.2,71.2
Guam,98.86,75.97,109.74,105.03,113.3,70.76,85.01,92.13,140.26,168.36
Guatemala,"7,869.55","8,631.05","11,146.97","10,776.82","10,696.84","11,221.38","11,364.31","10,950.86","11,786.29","11,380.36"
Guinea,"1,188.31","2,218.93","2,039.00","2,087.89","2,555.81","2,767.26","1,953.06","3,463.79","6,187.15","6,330.93"
Guinea-Bissau,150.71,158.63,372.61,157.35,219.87,247.79,309.51,378.23,368.13,178.92
Guyana,950.42,"1,111.11","1,448.46","1,677.46","1,520.25","1,569.72","1,315.09","1,562.72","1,575.73","1,495.35"
Haiti,662.34,693.47,866.2,922.38,"1,010.64","1,078.58","1,148.01","1,110.62","1,137.88","1,253.43"
Honduras,"5,692.55","6,771.71","8,221.35","8,566.05","8,298.83","8,599.70","8,546.32","8,284.42","8,712.31","8,967.89"
Hungary,"77,145.40","90,176.39","104,000.34","97,171.47","102,600.70","108,493.30","100,404.70","102,822.71","113,616.48","122,822.29"
Iceland,"4,066.37","4,711.76","5,406.23","5,045.85","5,145.25","5,224.26","5,022.05","4,585.05","5,307.77","5,724.83"
India,"167,710.78","227,695.63","286,209.46","279,088.24","287,370.78","290,561.10","256,774.93","251,481.34","289,202.56","319,661.09"
Indonesia,"137,355.50","177,225.40","222,398.76","218,767.89","211,047.63","202,294.54","174,392.17","166,694.28","191,252.39","208,412.53"
"Iran, I.R. of","67,997.35","90,460.80","118,701.78","88,325.05","67,729.55","67,996.00","41,738.17","49,518.41","69,448.98","75,789.26"
Iraq,"39,991.04","52,054.60","78,991.41","95,354.86","90,041.08","86,856.39","54,552.40","49,169.22","68,193.02","95,230.96"
Ireland,"138,488.62","146,912.38","159,963.24","148,284.70","142,871.83","147,028.88","158,488.89","163,024.09","173,463.25","201,517.94"
Israel,"49,130.97","57,822.68","66,983.11","65,451.61","68,291.25","70,329.09","64,632.66","60,809.17","64,579.55","65,616.48"
Italy,"397,218.81","433,398.69","507,362.82","500,418.79","510,192.81","522,578.13","459,574.64","463,081.71","508,963.33","556,328.09"
Jamaica,"1,395.91","1,135.77","1,577.67","1,369.96","1,307.91","1,287.68","1,255.48","1,049.70","1,213.65","1,538.16"
Japan,"631,412.72","810,384.15","866,830.49","876,177.80","800,164.74","772,592.91","701,192.99","708,487.01","731,067.96","774,507.43"
Jordan,"5,610.69","6,155.15","7,567.00","7,816.55","7,484.44","8,036.64","7,731.90","7,272.31","7,753.86","7,939.23"
Kazakhstan,"35,787.19","48,069.75","67,016.69","72,062.58","68,609.22","60,445.06","37,111.65","30,250.40","41,316.70","50,892.14"
Kenya,"4,479.96","4,813.35","5,892.34","6,237.58","6,433.04","7,059.16","6,245.49","5,690.88","5,782.89","6,406.97"
Kiribati,35,25.19,58.4,66.85,82.17,82.74,136.64,142.98,178.78,142.6
"Korea, Republic of","358,519.40","467,848.96","549,773.48","565,823.36","586,018.94","599,129.06","550,789.38","528,209.18","609,154.00","644,682.53"
